gene_symbol,fdr_bh_adj_p_primary,mean_transloc_primary,n_sg_primary,fdr_bh_adj_p_secondary_reporter,mean_transloc_secondary_reporter,n_sg_secondary_reporter,fdr_bh_adj_p_secondary_antibody,mean_transloc_secondary_antibody,n_sg_secondary_antibody
ABHD18,0.4291972437583945,-0.026852895283018877,2.0,,,,,,
ABHD2,0.4264140273104626,0.00932824360483478,4.0,,,,,,
ABHD3,0.20288120599921153,0.001624420352410795,4.0,,,,,,
ABHD4,0.7425477923934085,-0.023679489646464682,4.0,,,,,,
ABHD5,0.5910478646468053,0.008646577793994956,4.0,,,,,,
ABHD6,0.48978272746805124,-0.02389816206753088,4.0,,,,,,
ABHD8,0.8998439752672163,-0.0031461817541731073,4.0,,,,,,
ABI1,0.9051794205635229,-0.012427419061072437,4.0,,,,,,
ABI2,0.084548476659402,-0.008836883568075174,4.0,,,,,,
ABI3,0.7741549153894303,-0.008926682921379738,4.0,,,,,,
ABI3BP,0.11435185366078854,-0.016448569083351943,4.0,,,,,,
ABL1,0.39863769462478627,-0.010503275367600151,4.0,,,,,,
ABL2,0.20648635741202373,-0.011952926139843214,4.0,,,,,,
ABLIM1,0.1534809599464694,-0.03199382133824906,4.0,,,,,,
ABLIM2,0.06548646270608963,-0.0212928056655666,3.0,,,,,,
ABLIM3,0.13636157905863958,-0.016790072688261413,4.0,,,,,,
ABO,0.39536635952103494,-0.026243809477758513,4.0,,,,,,
ABR,0.43313561032036946,0.02396611828719705,4.0,,,,,,
ABRA,0.9256038934392136,0.011831309004524487,4.0,,,,,,
ABRACL,0.6638430669398909,-0.00168270600950224,4.0,,,,,,
ABRAXAS2,0.4241626740786022,-0.004774003773584924,2.0,,,,,,
ABT1,0.6981550338241145,0.030764651282051234,1.0,,,,,,
ABTB1,0.823340359471932,-0.006489914563932508,3.0,,,,,,
ABTB2,0.5192065161844828,-0.012984179497098687,4.0,,,,,,
AC007431.1,0.41672048307643406,-0.05970658918918926,1.0,,,,,,
ACAA1,0.4845647270628059,-0.015960717006717855,4.0,,,,,,
ACAA2,0.5915567871700108,-0.014665637359463446,4.0,,,,,,
ACACA,0.2735287912502664,0.004545326704190075,4.0,,,,,,
ACACB,0.5209456394457421,-0.017144339897726166,4.0,,,,,,
ACAD10,0.7494153063277744,-0.0176020195069074,4.0,,,,,,
ACAD11,0.9940949614852814,-0.003934962724014332,3.0,,,,,,
ACAD8,0.7047867778169281,-0.01649681855213384,4.0,,,,,,
ACAD9,0.6672664698922521,-0.007392940470425501,4.0,,,,,,
ACADL,0.7620517572697095,-0.007710542038514575,4.0,,,,,,
ACADM,0.0466781994051749,0.0010485672453150298,4.0,,,,,,
ACADS,0.87412267714151,0.00123290921459487,4.0,,,,,,
ACADSB,0.4730021145751665,-0.013989620932767136,4.0,,,,,,
ACADVL,0.8024808563227812,-0.010621350408854119,4.0,,,,,,
ACAN,0.6570675331020692,0.0050406842164785045,4.0,,,,,,
ACAP1,0.671936990618638,-0.0014744793527771056,4.0,,,,,,
ACAP2,0.14747736975491454,-0.01557989348237437,4.0,,,,,,
ACAP3,0.7731307912351089,0.009982060482791134,4.0,,,,,,
ACAT1,0.8744094463809885,-0.003869688899128496,4.0,,,,,,
ACAT2,0.9601593563743562,-0.0021863701025898754,4.0,,,,,,
ACBD3,0.16282083925699387,0.0034163137604187764,4.0,,,,,,
ACBD4,0.8977638136511377,-0.004865226086956514,1.0,,,,,,
ACBD5,0.5615328583189152,0.007048733720930149,4.0,,,,,,
ACBD6,0.4879920988534872,-0.0035454807607732245,5.0,,,,,,
ACBD7,0.5025331612582244,0.0025450023818820652,4.0,,,,,,
ACCS,0.4874876181969032,0.011575985244573686,3.0,,,,,,
ACCSL,0.3468999004825154,0.014505072687679884,4.0,,,,,,
ACD,0.5001999450488981,-0.013952234834834841,4.0,,,,,,
ACE,0.3403779877450185,0.028500431706475874,4.0,,,,,,
ACE2,0.5822112221663449,0.008311246448096998,4.0,,,,,,
ACER1,0.7371792534483365,-0.014851821419186104,3.0,,,,,,
ACER2,0.4537497976237866,0.00933634007975462,4.0,,,,,,
ACER3,0.549137190217833,-0.03276771433761316,4.0,,,,,,
ACHE,0.07414916391059637,-0.019422630654659195,4.0,0.2789948944940767,0.0036351639638384043,5.0,0.8331362646905656,0.002615974406968493,4.0
