MED30 (90390)
UFM1 (51569)
RIC8A (60626)
WRB (7485)
THAP11 (57215)
COQ4 (51117)
CCDC115 (84317)
EED (8726)
IRS2 (8660)
GET4 (51608)
KMT2D (8085)
IMPDH2 (3615)
FURIN (5045)
EPC2 (26122)
NCAPH2 (29781)
PSMG2 (56984)
BRAF (673)
MTG2 (26164)
PPCDC (60490)
FARS2 (10667)
ICE2 (79664)
RNF168 (165918)
EIF2AK4 (440275)
DHODH (1723)
TUBB4B (10383)
GTF3A (2971)
PHF12 (57649)
MVK (4598)
SLC7A1 (6541)
MTPAP (55149)
ITGB1 (3688)
RAB10 (10890)
KIF18B (146909)
PTK2 (5747)
GART (2618)
MBTPS1 (8720)
GPI (2821)
CDIPT (10423)
MRPS24 (64951)
POP7 (10248)
MRPL23 (6150)
OGDH (4967)
SMARCB1 (6598)
HSPE1 (3336)
CCNC (892)
INTS12 (57117)
ATP1B3 (483)
SREBF1 (6720)
MIPEP (4285)
ANKRD49 (54851)
CFL1 (1072)
HSPA14 (51182)
DNAJC11 (55735)
MRPS6 (64968)
DSCC1 (79075)
NIPBL (25836)
SPATA5L1 (79029)
SOCS3 (9021)
WWTR1 (25937)
ZMYND8 (23613)
MBNL1 (4154)
PCYT1A (5130)
ADSS (159)
H2AFZ (3015)
COA7 (65260)
FDXR (2232)
TKT (7086)
ACTB (60)
MRPL15 (29088)
RHOA (387)
CCND2 (894)
FBXW11 (23291)
TRAF2 (7186)
ENO1 (2023)
UQCRC2 (7385)
BRAT1 (221927)
COPG1 (22820)
FEN1 (2237)
SMARCA4 (6597)
AP2M1 (1173)
NDUFC2 (4718)
CTNNB1 (1499)
MAU2 (23383)
PPAT (5471)
POLR2J (5439)
UROD (7389)
IGF1R (3480)
LRPPRC (10128)
ATIC (471)
NCAPD3 (23310)
ACSL3 (2181)
FBXO42 (54455)
RARS2 (57038)
CDKN1A (1026)
FGFR1OP (11116)
FOSL1 (8061)
UXS1 (80146)
PPP2R2A (5520)
HIST1H4I (8294)
MRPS23 (51649)
XRN1 (54464)
HNRNPH1 (3187)
DPAGT1 (1798)
UBE2D3 (7323)
PTPMT1 (114971)
MRPL21 (219927)
STK11 (6794)
CYB5B (80777)
MRPL17 (63875)
NDUFA8 (4702)
MIB1 (57534)
AP2S1 (1175)
DHX29 (54505)
NAPG (8774)
VRK1 (7443)
FASN (2194)
ATL2 (64225)
POLG (5428)
RNPC3 (55599)
TOE1 (114034)
KLF5 (688)
CHMP3 (51652)
DTYMK (1841)
RAD9A (5883)
METTL1 (4234)
SLC2A1 (6513)
AK6 (102157402)
ATP5I (521)
ZFP36L1 (677)
MSTO1 (55154)
PGD (5226)
MED24 (9862)
UBE2N (7334)
MED23 (9439)
PDS5A (23244)
PDCD2 (5134)
USP7 (7874)
UQCR10 (29796)
EMC3 (55831)
YPEL5 (51646)
PPA2 (27068)
RPL37 (6167)
SYS1 (90196)
MRPL57 (78988)
RPA2 (6118)
FXN (2395)
BUB3 (9184)
PET117 (100303755)
MINOS1 (440574)
NMNAT1 (64802)
PPP1R15B (84919)
HARS2 (23438)
SCD (6319)
UBIAD1 (29914)
NDUFB6 (4712)
CREBBP (1387)
MRPL33 (9553)
WDR73 (84942)
PAGR1 (79447)
CCDC101 (112869)
VHL (7428)
EARS2 (124454)
PAICS (10606)
NHLRC2 (374354)
RAB6A (5870)
C16orf72 (29035)
KCTD5 (54442)
PSMG1 (8624)
SEPSECS (51091)
DNM2 (1785)
UMPS (7372)
CYC1 (1537)
PGM3 (5238)
CAD (790)
STX4 (6810)
ACTR1A (10121)
YARS2 (51067)
LARS2 (23395)
DCLRE1B (64858)
TAMM41 (132001)
CAB39 (51719)
NDUFB10 (4716)
PMVK (10654)
TBC1D3C (414060)
CHMP4B (128866)
PDCD10 (11235)
EFR3A (23167)
CTPS1 (1503)
PSMB5 (5693)
IRF4 (3662)
MRPS11 (64963)
PPP1R12A (4659)
PFDN1 (5201)
CBFB (865)
TRPM7 (54822)
ATP1A1 (476)
NAMPT (10135)
PPP2R1A (5518)
SNRPB2 (6629)
MEN1 (4221)
GPX4 (2879)
MYH9 (4627)
MARCH5 (54708)
PAXIP1 (22976)
HNF1B (6928)
MED19 (219541)
TFRC (7037)
MCL1 (4170)
C1orf109 (54955)
ZNF217 (7764)
RIC1 (57589)
KRAS (3845)
THAP1 (55145)
SDHB (6390)
PRKRA (8575)
WDR1 (9948)
GMPS (8833)
NMT1 (4836)
SUPT20H (55578)
RPP25L (138716)
CDK4 (1019)
TXNRD1 (7296)
KIF18A (81930)
MARS2 (92935)
MYC (4609)
RAN (5901)
CDK6 (1021)
GRB2 (2885)
TADA2B (93624)
ACO2 (50)
HIST2H3A (333932)
AMBRA1 (55626)
FERMT2 (10979)
ADSL (158)
SNAP23 (8773)
CFLAR (8837)
NXT1 (29107)
CRKL (1399)
SOD2 (6648)
TAF5L (27097)
MED1 (5469)
INTS6 (26512)
TSC1 (7248)
PSMB6 (5694)
MDM2 (4193)
BCL2L1 (598)
TADA1 (117143)
ITGAV (3685)
SEPHS2 (22928)
KEAP1 (9817)
YRDC (79693)
TYMS (7298)
CDAN1 (146059)
CCND1 (595)
DNAJC9 (23234)
NF2 (4771)
EP300 (2033)
SCAP (22937)
TSC2 (7249)
PTEN (5728)
TBC1D3 (729873)
TP53 (7157)
