,gene_symbol,Plasmid,2dDox,7dDox,InSitu
59,ABCC5,2.3380208958076235e-05,1.8327705602892933e-05,2.8382835736894718e-05,4.469371088769913e-05
60,ABCC6,4.9047612270746886e-05,6.527206060003775e-05,3.632915065373318e-05,4.2996481360318155e-05
61,ABCC8,7.941647064563939e-05,7.166710508629045e-05,0.0001037422112294324,8.46728953104511e-05
62,ABCC9,6.137304851495011e-05,5.310455952320859e-05,5.93712751527324e-05,6.044022928062266e-05
63,ABCD1,4.6252152504020375e-05,4.0232555968222175e-05,4.6022679740852995e-05,4.02620560106488e-05
64,ABCD2,7.052182593332778e-05,5.828737672648097e-05,4.320734074065885e-05,5.28969869367072e-05
65,ABCD3,4.167776379483155e-05,3.694245917799673e-05,4.226040355655088e-05,3.4981786369907975e-05
66,ABCD4,5.451146545116688e-05,6.138964014237124e-05,4.617752525636341e-05,3.52646579578048e-05
67,ABCE1,4.80310814464827e-05,4.142380714671972e-05,8.174405176515145e-06,7.260370756018635e-06
68,ABCF1,6.836169793176638e-05,5.4204694160568603e-05,3.180488403451897e-05,2.7438544025992502e-05
69,ABCF2,2.986059296276041e-05,3.5899920650835125e-05,2.0512228348323773e-05,3.3850300018320655e-05
70,ABCF3,4.6125086150987355e-05,2.8725078739343232e-05,2.9547677450793823e-05,3.300168525463016e-05
71,ABCG1,3.1766588258255754e-05,1.8949499237004812e-05,3.069061704977629e-05,3.1493036785847065e-05
72,ABCG2,2.7192199549066927e-05,2.4791074408372303e-05,3.821584331546434e-05,3.3284556842526985e-05
73,ABCG4,5.578212898149711e-05,5.7872255448909134e-05,6.662211524685752e-05,6.675769474365187e-05
74,ABCG5,4.421909085549201e-05,2.70554304140372e-05,3.878140227866754e-05,3.337884737182594e-05
75,ABCG8,4.726868332828456e-05,4.1764541828088346e-05,3.896621139346826e-05,3.639614430939212e-05
76,ABHD1,6.366024286954454e-05,6.640932247270921e-05,9.34541496136985e-05,0.00010683116969570278
77,ABHD10,5.1461872978374316e-05,5.250671461313894e-05,4.6671618556138406e-05,6.55319178627656e-05
78,ABHD11,5.2097204743539444e-05,5.8446187147458543e-05,2.3940253831726428e-05,2.413837550052949e-05
79,ABHD12,6.543917181200685e-05,7.357000422842826e-05,9.859130022961605e-05,0.00010522823069762075
80,ABHD12B,5.781519063002548e-05,4.1648182949490245e-05,5.471069050489101e-05,5.440563540549029e-05
81,ABHD13,4.930174497681293e-05,5.5650975453013737e-05,5.990091127332802e-05,5.1199757409326225e-05
82,ABHD14A,5.260547015567153e-05,5.622758583314107e-05,5.0456980119901485e-05,4.525945406349279e-05
83,ABHD14A-ACY1,4.4727356267624106e-05,4.680741427632909e-05,3.670580582078393e-05,3.865911701256676e-05
84,ABHD14B,4.536268803278922e-05,6.254348940287387e-05,4.737497478010607e-05,3.715046854378367e-05
85,ABHD15,4.955587768287897e-05,4.442105839760202e-05,4.352049309993912e-05,3.667901589728895e-05
86,ABHD16A,3.723044143867574e-05,3.402300571574401e-05,3.875783461155594e-05,4.309077188961709e-05
87,ABHD16B,4.714161697525154e-05,5.3562633523177535e-05,4.730491727671305e-05,4.290219083101921e-05
88,ABHD17A,7.738340899711101e-05,9.083286399676267e-05,2.7633009652010166e-05,2.866432090687877e-05
89,ABHD17B,5.4257332745100834e-05,6.880251059895846e-05,6.338705807753034e-05,6.57204989213635e-05
90,ABHD17C,4.167776379483155e-05,4.31948715971397e-05,4.7344340472309606e-05,3.969631283485514e-05
91,ABHD18,1.4739696951830668e-05,9.9691191712478e-06,2.4850929058438357e-05,1.9518139564881264e-05
92,ABHD2,5.781519063002548e-05,5.8304896263650864e-05,7.789188973236686e-05,6.298607357169413e-05
93,ABHD3,4.9047612270746886e-05,3.925871836349649e-05,5.2994941547787546e-05,5.383989222969663e-05
94,ABHD4,4.409202450245899e-05,3.735624612636945e-05,4.976425635269059e-05,3.0455840963558687e-05
95,ABHD5,6.709103440143615e-05,6.124588587168365e-05,5.5656149732690355e-05,5.9308742929035344e-05
96,ABHD6,4.155069744179852e-05,3.1610376649662445e-05,6.124596550567502e-05,5.2425534290212476e-05
97,ABHD8,5.273253650870455e-05,4.84847120244703e-05,6.237584956133686e-05,4.252502871382343e-05
98,ABI1,4.790401509344968e-05,4.3014792315000594e-05,5.791334618824418e-05,6.279749251309624e-05
99,ABI2,3.329138449465203e-05,4.0756532713402844e-05,3.2650712069007715e-05,5.534854069847972e-05
100,ABI3,3.151245555218971e-05,2.5214278944267996e-05,2.5211786230728793e-05,2.423266602982843e-05
101,ABI3BP,3.824697226293993e-05,2.5178200817952987e-05,4.7208007071739325e-05,3.781050224887627e-05
